cell #, vertex #, lat, lon
017, 05, 33.791664, -118.041672
017, 06, 33.699400, -118.166664
017, 07, 33.666668, -118.133933
017, 08, 33.616066, -118.083336
017, 09, 33.583332, -118.052588
017, 10, 33.530747, -118.000000
017, 11, 33.625000, -117.875000
018, 01, 33.791664, -118.041672
018, 02, 33.791664, -118.125000
018, 03, 33.791664, -118.208328
018, 04, 33.791664, -118.291672
018, 05, 33.708336, -118.291672
018, 06, 33.708336, -118.375000
018, 07, 33.791664, -118.375000
018, 08, 33.750000, -118.469252
018, 09, 33.666668, -118.467266
018, 10, 33.628287, -118.416664
018, 11, 33.628287, -118.333336
018, 12, 33.628287, -118.250000
018, 13, 33.666668, -118.199398
018, 14, 33.699400, -118.166664
018, 15, 33.791664, -118.041672
019, 01, 33.791664, -118.375000
019, 02, 33.875000, -118.375000
019, 03, 33.875000, -118.458328
019, 04, 33.958336, -118.458328
019, 05, 34.041664, -118.458328
019, 06, 33.949400, -118.583336
019, 07, 33.916668, -118.552588
019, 08, 33.833332, -118.550602
019, 09, 33.782733, -118.500000
019, 10, 33.750000, -118.469252
019, 11, 33.791664, -118.375000
020, 01, 34.041664, -118.458328
020, 02, 34.041664, -118.541672
020, 03, 34.125000, -118.541672
020, 04, 34.125000, -118.625000
020, 05, 34.125000, -118.708328
020, 06, 34.125000, -118.791672
020, 07, 34.044953, -118.833336
020, 08, 34.044953, -118.750000
020, 09, 34.032733, -118.666664
020, 10, 34.000000, -118.633933
020, 11, 33.949400, -118.583336
020, 12, 34.041664, -118.458328
021, 01, 34.125000, -118.791672
021, 02, 34.125000, -118.875000
021, 03, 34.125000, -118.958328
021, 04, 34.125000, -119.041672
021, 05, 34.125000, -119.125000
021, 06, 34.125000, -119.208328
021, 07, 34.083332, -119.300602
021, 08, 34.044953, -119.250000
021, 09, 34.044953, -119.166664
021, 10, 34.044953, -119.083336
021, 11, 34.044953, -119.000000
021, 12, 34.044953, -118.916664
021, 13, 34.044953, -118.833336
021, 14, 34.125000, -118.791672
022, 01, 34.125000, -119.208328
022, 02, 34.208336, -119.208328
022, 03, 34.291664, -119.208328
022, 04, 34.291664, -119.291672
022, 05, 34.375000, -119.291672
022, 06, 34.281087, -119.416664
022, 07, 34.250000, -119.387522
022, 08, 34.195811, -119.333336
022, 09, 34.166668, -119.304191
022, 10, 34.083332, -119.300602
022, 11, 34.125000, -119.208328
023, 01, 34.375000, -119.291672
023, 02, 34.375000, -119.375000
023, 03, 34.375000, -119.458328
023, 04, 34.375000, -119.541672
023, 05, 34.375000, -119.625000
023, 06, 34.375000, -119.708328
023, 07, 34.375000, -119.791672
023, 08, 34.294953, -119.833336
023, 09, 34.294953, -119.750000
023, 10, 34.294953, -119.666664
023, 11, 34.294953, -119.583336
023, 12, 34.294953, -119.500000
023, 13, 34.281087, -119.416664
023, 14, 34.375000, -119.291672
024, 01, 34.375000, -119.791672
024, 02, 34.375000, -119.875000
024, 03, 34.458336, -119.875000
024, 04, 34.458336, -119.958328
024, 05, 34.458336, -120.041672
024, 06, 34.458336, -120.125000
024, 07, 34.377481, -120.166664
024, 08, 34.377481, -120.083336
024, 09, 34.366066, -120.000000
024, 10, 34.333332, -119.967266
024, 11, 34.294953, -119.916664
024, 12, 34.294953, -119.833336
024, 13, 34.375000, -119.791672
025, 01, 34.458336, -120.125000
025, 02, 34.458336, -120.208328
025, 03, 34.458336, -120.291672
025, 04, 34.458336, -120.375000
025, 05, 34.458336, -120.458328
025, 06, 34.416668, -120.550602
025, 07, 34.377481, -120.500000
025, 08, 34.377481, -120.416664
025, 09, 34.377481, -120.333336
025, 10, 34.377481, -120.250000
025, 11, 34.377481, -120.166664
025, 12, 34.458336, -120.125000
026, 01, 34.458336, -120.458328
026, 02, 34.541664, -120.458328
026, 03, 34.541664, -120.541672
026, 04, 34.625000, -120.541672
026, 05, 34.625000, -120.625000
026, 06, 34.666668, -120.720855
026, 07, 34.583332, -120.720855
026, 08, 34.530747, -120.666664
026, 09, 34.500000, -120.633933
026, 10, 34.449400, -120.583336
026, 11, 34.416668, -120.550602
026, 12, 34.458336, -120.458328
027, 01, 34.625000, -120.625000
027, 02, 34.708336, -120.625000
027, 03, 34.791664, -120.625000
027, 04, 34.875000, -120.625000
027, 05, 34.958336, -120.625000
027, 06, 35.041664, -120.625000
027, 07, 35.083332, -120.717266
027, 08, 35.000000, -120.720855
027, 09, 34.916668, -120.717266
027, 10, 34.833332, -120.720855
027, 11, 34.750000, -120.720855
027, 12, 34.666668, -120.720855
027, 13, 34.625000, -120.625000
028, 01, 35.041664, -120.625000
028, 02, 35.125000, -120.625000
028, 03, 35.208336, -120.625000
028, 04, 35.208336, -120.708328
028, 05, 35.208336, -120.791672
028, 06, 35.208336, -120.875000
028, 07, 35.250000, -120.967266
028, 08, 35.166668, -120.967266
028, 09, 35.129052, -120.916664
028, 10, 35.129052, -120.833336
028, 11, 35.116066, -120.750000
028, 12, 35.083332, -120.717266
028, 13, 35.041664, -120.625000
029, 01, 35.208336, -120.875000
029, 02, 35.291664, -120.875000
029, 03, 35.375000, -120.875000
029, 04, 35.458336, -120.875000
029, 05, 35.458336, -120.958328
029, 06, 35.458336, -121.041672
029, 07, 35.416668, -121.133933
029, 08, 35.378287, -121.083336
029, 09, 35.364420, -121.000000
029, 10, 35.333332, -120.970855
029, 11, 35.250000, -120.967266
029, 12, 35.208336, -120.875000
030, 01, 35.458336, -121.041672
030, 02, 35.541664, -121.041672
030, 03, 35.541664, -121.125000
030, 04, 35.625000, -121.125000
030, 05, 35.708336, -121.125000
030, 06, 35.610744, -121.250000
030, 07, 35.583332, -121.222588
030, 08, 35.500000, -121.220698
030, 09, 35.449400, -121.166664
030, 10, 35.416668, -121.133933
030, 11, 35.458336, -121.041672
031, 01, 35.708336, -121.125000
031, 02, 35.708336, -121.208328
031, 03, 35.708336, -121.291672
031, 04, 35.791664, -121.291672
031, 05, 35.791664, -121.375000
031, 06, 35.750000, -121.472588
031, 07, 35.694079, -121.416664
031, 08, 35.666668, -121.389255
031, 09, 35.626187, -121.333336
031, 10, 35.610744, -121.250000
031, 11, 35.708336, -121.125000
032, 01, 35.791664, -121.375000
032, 02, 35.875000, -121.375000
032, 03, 35.875000, -121.458328
032, 04, 35.958336, -121.458328
032, 05, 35.958336, -121.541672
032, 06, 36.041664, -121.541672
032, 07, 35.945969, -121.666664
032, 08, 35.916668, -121.639255
032, 09, 35.862477, -121.583336
032, 10, 35.833332, -121.552248
032, 11, 35.779301, -121.500000
032, 12, 35.750000, -121.472588
032, 13, 35.791664, -121.375000
033, 01, 36.041664, -121.541672
033, 02, 36.041664, -121.625000
033, 03, 36.125000, -121.625000
033, 04, 36.208336, -121.625000
033, 05, 36.208336, -121.708328
033, 06, 36.208336, -121.791672
033, 07, 36.126187, -121.833336
033, 08, 36.110744, -121.750000
033, 09, 36.083332, -121.720698
033, 10, 36.000000, -121.720698
033, 11, 35.945969, -121.666664
033, 12, 36.041664, -121.541672
034, 01, 36.208336, -121.791672
034, 02, 36.291664, -121.791672
034, 03, 36.291664, -121.875000
034, 04, 36.375000, -121.875000
034, 05, 36.458336, -121.875000
034, 06, 36.362635, -122.000000
034, 07, 36.333332, -121.972588
034, 08, 36.250000, -121.968912
034, 09, 36.195969, -121.916664
034, 10, 36.166668, -121.889255
034, 11, 36.126187, -121.833336
034, 12, 36.208336, -121.791672
035, 01, 36.458336, -121.875000
035, 02, 36.458336, -121.958328
035, 03, 36.541664, -121.958328
035, 04, 36.541664, -121.875000
035, 05, 36.625000, -121.875000
035, 06, 36.705047, -121.916664
035, 07, 36.666668, -121.970698
035, 08, 36.637365, -122.000000
035, 09, 36.583332, -122.052248
035, 10, 36.500000, -122.054033
035, 11, 36.416668, -122.050602
035, 12, 36.362635, -122.000000
035, 13, 36.458336, -121.875000
036, 01, 36.625000, -121.875000
036, 02, 36.625000, -121.791672
036, 03, 36.625000, -121.708328
036, 04, 36.708336, -121.708328
036, 05, 36.791664, -121.708328
036, 06, 36.875000, -121.708328
036, 07, 36.875000, -121.791672
036, 08, 36.916668, -121.885579
036, 09, 36.833332, -121.887364
036, 10, 36.779301, -121.833336
036, 11, 36.750000, -121.805924
036, 12, 36.720699, -121.833336
036, 13, 36.705047, -121.916664
036, 14, 36.625000, -121.875000
037, 01, 36.875000, -121.791672
037, 02, 36.958336, -121.791672
037, 03, 37.041664, -121.791672
037, 04, 37.041664, -121.875000
037, 05, 37.041664, -121.958328
037, 06, 37.041664, -122.041672
037, 07, 37.041664, -122.125000
037, 08, 36.960291, -122.166664
037, 09, 36.960291, -122.083336
037, 10, 36.960291, -122.000000
037, 11, 36.945811, -121.916664
037, 12, 36.916668, -121.885579
037, 13, 36.875000, -121.791672
038, 01, 37.041664, -122.125000
038, 02, 37.041664, -122.208328
038, 03, 37.125000, -122.208328
038, 04, 37.125000, -122.291672
038, 05, 37.208336, -122.291672
038, 06, 37.250000, -122.387364
038, 07, 37.166668, -122.387364
038, 08, 37.083332, -122.391134
038, 09, 37.025531, -122.333336
038, 10, 37.000000, -122.307803
038, 11, 36.960291, -122.250000
038, 12, 36.960291, -122.166664
038, 13, 37.041664, -122.125000
039, 01, 37.208336, -122.291672
039, 02, 37.291664, -122.291672
039, 03, 37.375000, -122.291672
039, 04, 37.458336, -122.291672
039, 05, 37.458336, -122.375000
039, 06, 37.541664, -122.375000
039, 07, 37.445969, -122.500000
039, 08, 37.416668, -122.470698
039, 09, 37.362635, -122.416664
039, 10, 37.333332, -122.387364
039, 11, 37.250000, -122.387364
039, 12, 37.208336, -122.291672
040, 01, 37.541664, -122.375000
040, 02, 37.541664, -122.458328
040, 03, 37.625000, -122.458328
040, 04, 37.708336, -122.458328
040, 05, 37.791664, -122.458328
040, 06, 37.750000, -122.559510
040, 07, 37.666668, -122.554033
040, 08, 37.583332, -122.557803
